zone	rule	period	n_hours	mae_mw	median_ae_mw
DK1	anad2w	jul26	504	569.7495343779142	479.40431250000006
DK1	anad2w	jul26_evening	84	629.7849858578869	577.1956406249999
DK1	ana16wb	all	18024	466.07664542350005	403.59328125
DK1	ana16wb	evening	3004	470.2130921119549	412.00143750000007
DK1	ana16wb	jul26	504	711.9106525370163	666.381864875
DK1	ana16wb	jul26_evening	84	793.4533510290179	739.2179764062499
DK1	v3	all	18024	585.6982262884002	497.67375000000004
DK1	v3	evening	3004	600.5043502034787	517.1712500000001
DK1	v3	jul26	504	901.6175326490575	809.4428113124999
DK1	v3	jul26_evening	84	1065.316927854167	1038.5684334375
DK2	v2	all	18024	200.7552151132541	165.963125
DK2	v2	evening	3004	216.12678835827228	181.94450000000003
DK2	v2	jul26	504	299.7814000012401	296.18199037499994
DK2	v2	jul26_evening	84	388.05496854166665	431.78856249999995
DK2	rec3	all	18024	186.01100782481925	154.989375
DK2	rec3	evening	3004	194.26495014384986	161.45287499999998
DK2	rec3	jul26	504	232.57251483407737	186.5751605
DK2	rec3	jul26_evening	84	264.28920599702377	197.78400000000005
DK2	d2	all	18024	190.39565971988273	152.97925000000004
DK2	d2	evening	3004	199.8827856698569	161.84675
DK2	d2	jul26	504	189.8931525907738	134.62200000000007
DK2	d2	jul26_evening	84	209.62818356250003	145.76025000000004
DK2	ana8	all	18024	171.38112876098418	150.95312500000006
DK2	ana8	evening	3004	181.9069992370381	164.65812499999998
DK2	ana8	jul26	504	210.33059769469244	182.88110465625
DK2	ana8	jul26_evening	84	222.75392697916664	211.68440624999997
DK2	ana8b	all	18024	170.33105815831325	149.36953125000005
DK2	ana8b	evening	3004	184.35277830331432	166.39796875000002
DK2	ana8b	jul26	504	234.3681808812624	212.80066962500007
DK2	ana8b	jul26_evening	84	297.8352223139881	316.50021875
DK2	ana16	all	18024	165.10346869868417	147.58473293749998
DK2	ana16	evening	3004	179.73804386257908	164.74125000000004
DK2	ana16	jul26	504	192.11995942410715	155.37856250000004
DK2	ana16	jul26_evening	84	216.46082578869044	200.43009375000003
DK2	ana16b	all	18024	167.29011300928448	146.07343749999998
DK2	ana16b	evening	3004	181.5690188422208	164.01453125000003
DK2	ana16b	jul26	504	236.58281794605654	214.443453125
DK2	ana16b	jul26_evening	84	296.70920594494044	303.39278125
DK2	ana8w	all	18024	176.74754668447395	154.48037499999998
DK2	ana8w	evening	3004	191.3472580104652	173.98468749999998
DK2	ana8w	jul26	504	193.2449689716022	179.81565624999996
DK2	ana8w	jul26_evening	84	218.2861070386905	239.0898125
DK2	ana16w	all	18024	168.3391051327547	148.13656249999997
DK2	ana16w	evening	3004	185.3237310752122	168.55262499999998
DK2	ana16w	jul26	504	200.1409873638393	175.32921875
DK2	ana16w	jul26_evening	84	211.78204156250004	214.57737500000007
